DEPARTMENT,COMMODITY_DESC,AVG_PRICE,AVG_UNITS_SOLD,NUM_OBSERVATIONS,PRICE_ELASTICITY_PROXY,ELASTICITY_CATEGORY
GROCERY,DRY NOODLES/PASTA,3.78,17.10,3350,-0.2482,Moderately Elastic
GROCERY,REFRGRATD JUICES/DRNKS,3.8,16.82,5896,-0.2221,Moderately Elastic
PASTRY,CAKES,3.77,16.92,916,-0.1766,Low Elasticity
GROCERY,PNT BTR/JELLY/JAMS,3.82,16.59,3858,-0.2386,Moderately Elastic
PRODUCE,CITRUS,3.8,16.83,1928,-0.2248,Moderately Elastic
GROCERY,ICE CREAM/MILK/SHERBTS,3.82,16.74,5791,-0.2531,Moderately Elastic
DRUG GM,CANDY - PACKAGED,3.81,16.82,7420,-0.2663,Moderately Elastic
GROCERY,LAUNDRY DETERGENTS,3.75,16.99,2135,-0.2029,Moderately Elastic
GROCERY,SEAFOOD - SHELF STABLE,3.86,16.88,1828,-0.2532,Moderately Elastic
DRUG GM,SPRING/SUMMER SEASONAL,3.82,16.72,1218,-0.29,Moderately Elastic
GROCERY,BAKING NEEDS,3.84,16.91,3352,-0.2513,Moderately Elastic
GROCERY,FRZN BREAKFAST FOODS,3.81,16.86,2339,-0.2121,Moderately Elastic
PASTRY,ROLLS,3.77,16.84,912,-0.2146,Moderately Elastic
DRUG GM,COOKWARE & BAKEWARE,3.87,16.56,611,-0.26,Moderately Elastic
PRODUCE,TOMATOES,3.79,16.94,1018,-0.2903,Moderately Elastic
PRODUCE,GRAPES,3.87,16.56,815,-0.2742,Moderately Elastic
GROCERY,BEANS - CANNED GLASS & MW,3.84,16.69,3761,-0.234,Moderately Elastic
DRUG GM,AUTOMOTIVE PRODUCTS,3.82,17.36,305,-0.177,Low Elasticity
GROCERY,DINNER MXS:DRY,3.82,16.92,3456,-0.2518,Moderately Elastic
PRODUCE,VALUE ADDED VEGETABLES,3.75,17.13,710,-0.1894,Low Elasticity
NUTRITION,FITNESS&DIET,3.92,17.32,508,-0.3122,Moderately Elastic
COSMETICS,MAKEUP AND TREATMENT,3.85,16.81,1219,-0.2582,Moderately Elastic
GROCERY,DOMESTIC WINE,3.78,16.87,1220,-0.2385,Moderately Elastic
DRUG GM,HAND/BODY/FACIAL PRODUCTS,3.75,16.85,918,-0.2643,Moderately Elastic
PRODUCE,POTATOES,3.75,16.86,1728,-0.2146,Moderately Elastic
PRODUCE,STONE FRUIT,3.65,17.47,306,-0.256,Moderately Elastic
GROCERY,FRZN NOVELTIES/WTR ICE,3.83,16.72,3251,-0.2601,Moderately Elastic
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,3.8,17.12,1528,-0.2632,Moderately Elastic
GROCERY,SOUP,3.8,16.86,8941,-0.2358,Moderately Elastic
DRUG GM,CHARCOAL AND LIGHTER FLUID,3.78,16.40,1117,-0.1797,Low Elasticity
GROCERY,LAUNDRY ADDITIVES,3.83,16.77,2137,-0.2524,Moderately Elastic
GROCERY,DRY SAUCES/GRAVY,3.78,16.99,1219,-0.2331,Moderately Elastic
DRUG GM,DIETARY AID PRODUCTS,3.8,16.48,202,-0.3337,Moderately Elastic
GROCERY,AIR CARE,3.83,16.48,916,-0.2214,Moderately Elastic
MEAT-PCKGD,HEAT/SERVE,3.8,16.52,1016,-0.2636,Moderately Elastic
PASTRY,BREAD,3.83,16.56,1731,-0.2269,Moderately Elastic
GROCERY,FRZN ICE,3.84,16.37,709,-0.1937,Low Elasticity
DRUG GM,FILM AND CAMERA PRODUCTS,3.74,17.43,405,-0.2538,Moderately Elastic
DELI,CHEESES,3.86,16.81,3043,-0.2534,Moderately Elastic
GROCERY,DOG FOODS,3.85,16.87,1925,-0.2317,Moderately Elastic
MISC SALES TRAN,COUPON/MISC ITEMS,3.82,16.45,609,-0.2945,Moderately Elastic
NUTRITION,SNKS/CKYS/CRKR/CNDY,3.79,16.53,204,-0.301,Moderately Elastic
GROCERY,LIQUOR,3.76,16.84,508,-0.1936,Low Elasticity
FLORAL,ROSES,3.71,17.54,102,-0.1205,Low Elasticity
DRUG GM,PERSONAL CARE APPLIANCES,3.81,16.87,102,-0.278,Moderately Elastic
GRO BAKERY,SNACK NUTS,4,15.90,203,-0.2567,Moderately Elastic
SEAFOOD-PCKGD,SEAFOOD - MISC,3.69,16.46,102,-0.1969,Low Elasticity
MISC. TRANS.,NO COMMODITY DESCRIPTION,3.9,15.38,101,-0.2468,Moderately Elastic
GROCERY,FROZEN BREAD/DOUGH,3.71,16.69,1221,-0.2233,Moderately Elastic
PRODUCE,PEPPERS-ALL,3.78,17.08,814,-0.2562,Moderately Elastic
GROCERY,PASTA SAUCE,3.82,16.89,4674,-0.2332,Moderately Elastic
DELI,SNACKS,3.51,16.85,102,-0.0148,Low Elasticity
GROCERY,VEGETABLES - SHELF STABLE,3.82,16.79,13923,-0.2449,Moderately Elastic
GROCERY,CAT FOOD,3.8,16.92,3456,-0.2508,Moderately Elastic
DRUG GM,DIAPERS & DISPOSABLES,3.83,16.79,1117,-0.2434,Moderately Elastic
GROCERY,PICKLE/RELISH/PKLD VEG,3.85,16.71,2243,-0.2616,Moderately Elastic
GROCERY,BAG SNACKS,3.81,16.93,9041,-0.2568,Moderately Elastic
NUTRITION,CEREAL/BREAKFAST,3.83,16.59,405,-0.2164,Moderately Elastic
GROCERY,EGGS,3.87,16.80,1726,-0.2994,Moderately Elastic
DRUG GM,SUNTAN,3.76,16.86,509,-0.2001,Moderately Elastic
DRUG GM,DEODORANTS,3.83,16.94,1322,-0.2525,Moderately Elastic
GROCERY,DISHWASH DETERGENTS,3.81,16.92,2243,-0.2401,Moderately Elastic
GROCERY,COOKIES/CONES,3.84,16.89,5387,-0.252,Moderately Elastic
PRODUCE,TROPICAL FRUIT,3.82,16.89,1116,-0.2371,Moderately Elastic
PRODUCE,VEGETABLES - ALL OTHERS,3.84,16.72,2640,-0.2714,Moderately Elastic
PRODUCE,VEGETABLES SALAD,3.71,16.85,510,-0.1692,Low Elasticity
GROCERY,SHORTENING/OIL,3.77,17.17,3661,-0.2518,Moderately Elastic
DRUG GM,FIRST AID PRODUCTS,3.76,17.26,915,-0.1918,Low Elasticity
GROCERY,IMPORTED WINE,3.78,16.62,408,-0.1864,Low Elasticity
SEAFOOD,SEAFOOD - FROZEN,3.76,17.46,304,-0.2678,Moderately Elastic
GROCERY,WATER - CARBONATED/FLVRD DRINK,3.89,16.72,4465,-0.2729,Moderately Elastic
DRUG GM,SMOKING CESSATIONS,4.09,16.83,102,-0.4158,Moderately Elastic
DRUG GM,DISPOSIBLE FOILWARE,3.72,17.34,203,-0.3372,Moderately Elastic
FLORAL,FLORAL-FRESH CUT,3.85,16.51,610,-0.2251,Moderately Elastic
DRUG GM,FOOT CARE PRODUCTS,3.79,16.13,204,-0.1553,Low Elasticity
KIOSK-GAS,COUPON/MISC ITEMS,4.08,15.21,202,-0.3975,Moderately Elastic
GROCERY,COUPON/MISC ITEMS,3.7,17.62,101,-0.2842,Moderately Elastic
NUTRITION,REFRIGERATED,3.74,17.08,2035,-0.2659,Moderately Elastic
DRUG GM,INSECTICIDES,3.86,16.79,812,-0.2396,Moderately Elastic
KIOSK-GAS,FUEL,3.87,16.81,204,-0.2874,Moderately Elastic
GROCERY,SNACK NUTS,3.74,17.06,914,-0.2798,Moderately Elastic
DRUG GM,SHAVING CARE PRODUCTS,3.89,16.88,1116,-0.2734,Moderately Elastic
GROCERY,CRACKERS/MISC BKD FD,3.82,16.69,7116,-0.2582,Moderately Elastic
PASTRY,SWEET GOODS & SNACKS,3.81,16.61,406,-0.2388,Moderately Elastic
GROCERY,DRY MIX DESSERTS,3.76,16.82,3765,-0.2488,Moderately Elastic
GROCERY,MARGARINES,3.82,16.77,3149,-0.2769,Moderately Elastic
GROCERY,BAKED BREAD/BUNS/ROLLS,3.81,16.71,11686,-0.2431,Moderately Elastic
GROCERY,BAKING MIXES,3.82,16.75,3858,-0.257,Moderately Elastic
DRUG GM,MAGAZINE,3.85,16.70,1830,-0.2444,Moderately Elastic
PRODUCE,BERRIES,3.8,16.98,1624,-0.2951,Moderately Elastic
MEAT-PCKGD,BACON,3.81,16.76,2949,-0.253,Moderately Elastic
MEAT-PCKGD,MEAT - MISC,3.83,16.80,1221,-0.2685,Moderately Elastic
MEAT-PCKGD,MISCELLANEOUS,3.73,16.80,1017,-0.2106,Moderately Elastic
NUTRITION,BEVERAGE,3.86,16.41,102,-0.233,Moderately Elastic
GROCERY,BUTTER,3.9,16.77,811,-0.217,Moderately Elastic
GROCERY,COLD CEREAL,3.83,16.68,8338,-0.2524,Moderately Elastic
GROCERY,WAREHOUSE SNACKS,3.86,16.66,2336,-0.2971,Moderately Elastic
GROCERY,PAPER HOUSEWARES,3.88,17.04,2236,-0.2754,Moderately Elastic
GROCERY,REFRGRATD DOUGH PRODUCTS,3.84,16.80,3659,-0.2754,Moderately Elastic
DELI,PREPARED FOOD,3.8,16.65,913,-0.2776,Moderately Elastic
PRODUCE,APPLES,3.78,16.56,2848,-0.2481,Moderately Elastic
PRODUCE,NUTS,3.63,16.75,407,-0.213,Moderately Elastic
DRUG GM,HAIR CARE ACCESSORIES,3.87,16.66,507,-0.2608,Moderately Elastic
PASTRY,COOKIES,3.83,16.72,1523,-0.2739,Moderately Elastic
GROCERY,FRZN FRUITS,3.81,16.80,912,-0.219,Moderately Elastic
DRUG GM,J-HOOKS,3.95,16.12,102,-0.235,Moderately Elastic
GROCERY,MILK BY-PRODUCTS,3.83,16.80,4770,-0.2483,Moderately Elastic
GROCERY,COCOA MIXES,3.77,16.70,1114,-0.2639,Moderately Elastic
GROCERY,SALD DRSNG/SNDWCH SPRD,3.86,16.72,5382,-0.2712,Moderately Elastic
GROCERY,FLOUR & MEALS,3.83,16.66,1221,-0.2247,Moderately Elastic
SALAD BAR,SALAD BAR,3.79,17.66,204,-0.2517,Moderately Elastic
NUTRITION,FROZEN,3.93,17.65,102,-0.1912,Low Elasticity
DRUG GM,FEMININE HYGIENE,3.82,16.89,1627,-0.2385,Moderately Elastic
DRUG GM,SHOE CARE,3.81,18.07,102,0.012,Inelastic / Positive
NUTRITION,CONDIMENTS,3.63,17.93,101,-0.0639,Low Elasticity
MEAT,LAMB,3.88,16.32,102,-0.1814,Low Elasticity
DRUG GM,BABY HBC,3.82,16.98,1017,-0.2399,Moderately Elastic
DRUG GM,INFANT CARE PRODUCTS,3.76,17.07,610,-0.2775,Moderately Elastic
DRUG GM,KITCHEN GADGETS,3.78,16.84,1219,-0.2112,Moderately Elastic
COSMETICS,BATH,3.9,16.61,303,-0.3516,Moderately Elastic
DRUG GM,BATTERIES,3.82,16.89,1218,-0.2173,Moderately Elastic
PRODUCE,BROCCOLI/CAULIFLOWER,3.91,16.21,407,-0.3087,Moderately Elastic
DRUG GM,BOOKSTORE,3.92,16.29,302,-0.2637,Moderately Elastic
GROCERY,SOFT DRINKS,3.82,16.81,18899,-0.2546,Moderately Elastic
GROCERY,COFFEE,3.77,16.79,4069,-0.2433,Moderately Elastic
DRUG GM,BABY FOODS,3.82,16.88,5796,-0.2305,Moderately Elastic
GROCERY,FRUIT - SHELF STABLE,3.83,16.90,3862,-0.2485,Moderately Elastic
GROCERY,FROZEN PIE/DESSERTS,3.83,16.80,2843,-0.261,Moderately Elastic
GROCERY,SUGARS/SWEETNERS,3.78,16.89,1926,-0.2643,Moderately Elastic
PRODUCE,PROCESSED,3.95,16.44,1626,-0.2464,Moderately Elastic
PRODUCE,SALAD MIX,3.81,16.65,2026,-0.2276,Moderately Elastic
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,3.83,17.04,1928,-0.2347,Moderately Elastic
GROCERY,BEERS/ALES,3.82,16.71,5386,-0.247,Moderately Elastic
GROCERY,FRZN VEGETABLE/VEG DSH,3.81,16.76,3865,-0.2593,Moderately Elastic
DRUG GM,BROOMS AND MOPS,3.77,17.18,1015,-0.1943,Low Elasticity
DRUG GM,ORAL HYGIENE PRODUCTS,3.8,16.65,2640,-0.2536,Moderately Elastic
SEAFOOD-PCKGD,SEAFOOD - FROZEN,3.76,16.99,2947,-0.2405,Moderately Elastic
PRODUCE,ORGANICS FRUIT & VEGETABLES,3.91,16.71,610,-0.2242,Moderately Elastic
GROCERY,HOT CEREAL,3.81,16.39,1729,-0.2714,Moderately Elastic
DRUG GM,ANALGESICS,3.84,16.23,1321,-0.2482,Moderately Elastic
TRAVEL & LEISUR,APPLES,3.63,17.12,305,-0.2149,Moderately Elastic
FLORAL,FLORAL-FLOWERING PLANTS,3.8,16.80,100,-0.1978,Low Elasticity
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,3.72,17.00,1827,-0.2052,Moderately Elastic
DELI,COFFEE SHOP,4.01,17.82,101,-0.2939,Moderately Elastic
PRODUCE,CARROTS,3.82,16.72,813,-0.2558,Moderately Elastic
PRODUCE,SALAD BAR,4.01,16.88,102,-0.2421,Moderately Elastic
DRUG GM,TOBACCO OTHER,3.93,16.94,406,-0.231,Moderately Elastic
GROCERY,MISC WINE,3.75,16.89,407,-0.2078,Moderately Elastic
NUTRITION,PACKAGED NATURAL SNACKS,3.67,18.33,102,-0.346,Moderately Elastic
NUTRITION,PREPARED/PKGD FOODS,3.73,16.37,204,-0.1289,Low Elasticity
NUTRITION,RICE CAKES,3.81,16.63,204,-0.1735,Low Elasticity
GROCERY,CHEESE,3.84,16.80,15847,-0.2386,Moderately Elastic
GROCERY,FD WRAPS/BAGS/TRSH BG,3.81,16.63,3149,-0.2423,Moderately Elastic
DRUG GM,HAIR CARE PRODUCTS,3.79,16.78,3554,-0.2298,Moderately Elastic
GROCERY,YOGURT,3.81,17.07,4580,-0.2485,Moderately Elastic
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,3.83,16.72,4476,-0.2459,Moderately Elastic
PASTRY,BREAKFAST SWEETS,3.89,16.88,1120,-0.2601,Moderately Elastic
GROCERY,CANNED MILK,3.67,16.97,508,-0.2283,Moderately Elastic
PRODUCE,VALUE ADDED FRUIT,3.79,16.66,914,-0.2737,Moderately Elastic
DRUG GM,CIGARETTES,3.83,16.73,1723,-0.2418,Moderately Elastic
GROCERY,PET CARE SUPPLIES,4.01,16.94,203,-0.3251,Moderately Elastic
DELI,SANDWICHES,3.9,17.03,713,-0.2715,Moderately Elastic
DELI,CHICKEN/POULTRY,3.8,16.89,810,-0.1983,Low Elasticity
DRUG GM,CANDLES/ACCESSORIES,3.89,16.53,509,-0.2869,Moderately Elastic
MEAT,CHICKEN,3.82,16.79,2643,-0.2764,Moderately Elastic
GROCERY,FLUID MILK PRODUCTS,3.81,16.80,6301,-0.2413,Moderately Elastic
GROCERY,FACIAL TISS/DNR NAPKIN,3.89,16.68,711,-0.2406,Moderately Elastic
GROCERY,PAPER TOWELS,3.83,17.19,914,-0.2438,Moderately Elastic
GROCERY,ISOTONIC DRINKS,3.77,16.92,2029,-0.2285,Moderately Elastic
DRUG GM,VITAMINS,3.78,16.98,506,-0.2736,Moderately Elastic
DRUG GM,FAMILY PLANNING,3.99,16.49,101,-0.2642,Moderately Elastic
GROCERY,BLEACH,3.82,17.06,1018,-0.2702,Moderately Elastic
PRODUCE,MUSHROOMS,3.76,16.76,609,-0.2296,Moderately Elastic
NUTRITION,DRIED FRUIT,3.75,17.43,1017,-0.1968,Low Elasticity
DELI,DELI MEATS,3.82,16.92,3860,-0.2697,Moderately Elastic
PRODUCE,SQUASH,3.86,16.78,913,-0.2245,Moderately Elastic
DRUG GM,NEWSPAPER,3.85,16.39,609,-0.2243,Moderately Elastic
NUTRITION,WATER,3.81,16.86,406,-0.2479,Moderately Elastic
FLORAL,FLORAL BALLOONS,3.69,17.49,101,-0.215,Moderately Elastic
GROCERY,CAT LITTER,3.8,16.89,1014,-0.215,Moderately Elastic
SEAFOOD,SEAFOOD-FRESH,3.8,17.03,507,-0.2284,Moderately Elastic
DRUG GM,CIGARS,3.62,18.16,101,-0.2588,Moderately Elastic
DRUG GM,IRONING AND CHEMICALS,3.8,16.45,404,-0.1983,Low Elasticity
DELI,DELI SPECIALTIES (RETAIL PK),3.79,17.48,101,-0.2573,Moderately Elastic
GROCERY,FRZN POTATOES,3.78,17.12,1425,-0.2328,Moderately Elastic
DRUG GM,COFFEE FILTERS,4,15.99,303,-0.3206,Moderately Elastic
GROCERY,SYRUPS/TOPPINGS,3.85,16.05,509,-0.2468,Moderately Elastic
NUTRITION,CHIPS&SNACKS,3.77,17.08,709,-0.2556,Moderately Elastic
MEAT,(CORP USE ONLY),3.92,16.71,102,-0.3753,Moderately Elastic
PRODUCE,PEARS,3.84,17.18,203,-0.2704,Moderately Elastic
GROCERY,TEAS,3.77,16.74,1626,-0.2158,Moderately Elastic
PRODUCE,HERBS,3.74,17.12,1318,-0.2333,Moderately Elastic
GROCERY,FRZN MEAT/MEAT DINNERS,3.84,16.76,16662,-0.2634,Moderately Elastic
MEAT-PCKGD,HOT DOGS,3.82,16.63,1728,-0.2644,Moderately Elastic
GROCERY,MISC. DAIRY,3.8,16.57,2235,-0.2182,Moderately Elastic
GROCERY,SPICES & EXTRACTS,3.81,16.87,6703,-0.2405,Moderately Elastic
GROCERY,MEAT - SHELF STABLE,3.8,16.85,4166,-0.2384,Moderately Elastic
DRUG GM,EYE AND EAR CARE PRODUCTS,3.82,16.64,506,-0.2033,Moderately Elastic
MEAT,BEEF,3.82,16.79,5582,-0.2525,Moderately Elastic
DELI,SALADS/DIPS,3.84,16.65,2031,-0.2623,Moderately Elastic
GROCERY,BAKED SWEET GOODS,3.84,16.99,7217,-0.26,Moderately Elastic
MEAT,PORK,3.86,16.43,2236,-0.2781,Moderately Elastic
DRUG GM,STATIONERY & SCHOOL SUPPLIES,3.83,16.66,1932,-0.2556,Moderately Elastic
DRUG GM,HOSIERY/SOCKS,3.84,16.84,507,-0.2647,Moderately Elastic
DRUG GM,ELECTRICAL SUPPPLIES,3.84,16.67,1727,-0.226,Moderately Elastic
PRODUCE,MELONS,3.98,16.70,709,-0.3112,Moderately Elastic
DRUG GM,SINUS AND ALLERGY,3.78,16.23,610,-0.2466,Moderately Elastic
GROCERY,FROZEN CHICKEN,3.78,17.06,102,-0.1991,Low Elasticity
GROCERY,CANNED JUICES,3.82,16.76,7917,-0.2549,Moderately Elastic
NUTRITION,NON-DAIRY BEVERAGES,3.59,16.99,102,-0.3741,Moderately Elastic
PASTRY,PIES,3.87,16.83,506,-0.2457,Moderately Elastic
NUTRITION,JUICE,4,17.81,102,-0.2423,Moderately Elastic
DRUG GM,AUDIO/VIDEO PRODUCTS,3.67,16.89,203,-0.1508,Low Elasticity
DRUG GM,FIREWORKS,4.04,15.60,102,-0.2852,Moderately Elastic
DRUG GM,LAXATIVES,4.01,16.71,306,-0.2557,Moderately Elastic
DRUG GM,PLASTIC HOUSEWARES,3.75,17.42,1018,-0.265,Moderately Elastic
DRUG GM,COUPON/MISC ITEMS,3.72,16.28,101,-0.1627,Low Elasticity
GM MERCH EXP,UNKNOWN,3.56,16.98,102,-0.1208,Low Elasticity
PRODUCE,PROD SUPPLIES,3.81,18.34,102,-0.3171,Moderately Elastic
GROCERY,FROZEN PIZZA,3.81,16.75,10460,-0.2381,Moderately Elastic
GROCERY,HOUSEHOLD CLEANG NEEDS,3.84,16.55,2032,-0.2525,Moderately Elastic
GROCERY,CONDIMENTS/SAUCES,3.8,16.91,6195,-0.235,Moderately Elastic
PRODUCE,ONIONS,3.82,16.31,2134,-0.25,Moderately Elastic
GROCERY,PWDR/CRYSTL DRNK MX,3.85,16.85,2744,-0.2286,Moderately Elastic
DRUG GM,CANDY - CHECKLANE,3.82,16.82,4568,-0.2263,Moderately Elastic
GROCERY,OLIVES,3.96,16.70,1019,-0.308,Moderately Elastic
DRUG GM,SOAP - LIQUID & BAR,3.75,17.23,1934,-0.2314,Moderately Elastic
MEAT,SMOKED MEATS,3.87,16.71,910,-0.2788,Moderately Elastic
MEAT-PCKGD,LUNCHMEAT,3.8,16.82,9965,-0.2372,Moderately Elastic
DRUG GM,ANTACIDS,3.77,16.50,812,-0.2703,Moderately Elastic
GROCERY,FRZN JCE CONC/DRNKS,3.75,17.30,916,-0.2269,Moderately Elastic
GROCERY,DRY BN/VEG/POTATO/RICE,3.83,16.72,5689,-0.257,Moderately Elastic
PRODUCE,POPCORN,3.78,16.87,1425,-0.2448,Moderately Elastic
MEAT-PCKGD,DINNER SAUSAGE,3.82,16.60,2842,-0.2355,Moderately Elastic
DRUG GM,EASTER,3.66,17.09,102,-0.1151,Low Elasticity
GROCERY,HISPANIC,3.85,16.66,6300,-0.2443,Moderately Elastic
GROCERY,BATH TISSUES,3.84,16.83,1321,-0.278,Moderately Elastic
DRUG GM,INFANT FORMULA,3.92,16.38,811,-0.2688,Moderately Elastic
DRUG GM,COLD AND FLU,3.85,16.84,2134,-0.2722,Moderately Elastic
DRUG GM,HARDWARE SUPPLIES,3.81,16.45,915,-0.1787,Low Elasticity
DRUG GM,OVERNIGHT PHOTOFINISHING,4.01,17.34,101,-0.3943,Moderately Elastic
ELECT &PLUMBING,COUPON,3.86,18.93,101,-0.2567,Moderately Elastic
MEAT-PCKGD,FROZEN MEAT,3.81,16.66,2134,-0.2379,Moderately Elastic
PRODUCE,CORN,3.81,17.08,305,-0.2428,Moderately Elastic
SEAFOOD-PCKGD,SEAFOOD-FRESH,3.65,17.09,102,-0.0045,Low Elasticity
MEAT,TURKEY,3.8,16.53,204,-0.2938,Moderately Elastic
